Názov obce;Názov okresu;Názov kraja
Ábelová;Okres Lučenec;Banskobystrický
Abovce;Okres Rimavská Sobota;Banskobystrický
Abrahám;Okres Galanta;Trnavský
Abrahámovce, okres Bardejov;Okres Bardejov;Prešovský
Abrahámovce, okres Kežmarok;Okres Kežmarok;Prešovský
Abramová;Okres Turčianske Teplice;Žilinský
Abranovce;Okres Prešov;Prešovský
Adamovské Kochanovce;Okres Trenčín;Trenčiansky
Adidovce;Okres Humenné;Prešovský
Alekšince;Okres Nitra;Nitriansky
Andovce;Okres Nové Zámky;Nitriansky
Andrejová;Okres Bardejov;Prešovský
Ardanovce;Okres Topoľčany;Nitriansky
Ardovo;Okres Rožňava;Košický
Arnutovce;Okres Spišská Nová Ves;Košický
Báb;Okres Nitra;Nitriansky
Babie;Okres Vranov nad Topľou;Prešovský
Babín;Okres Námestovo;Žilinský
Babiná;Okres Zvolen;Banskobystrický
Babindol;Okres Nitra;Nitriansky
Babinec;Okres Rimavská Sobota;Banskobystrický
Bacúch;Okres Brezno;Banskobystrický
Bacúrov;Okres Zvolen;Banskobystrický
Báč;Okres Dunajská Streda;Trnavský
Bačka;Okres Trebišov;Košický
Bačkov;Okres Trebišov;Košický
Bačkovík;Okres Košice - okolie;Košický
Baďan;Okres Banská Štiavnica;Banskobystrický
Bádice;Okres Nitra;Nitriansky
Badín;Okres Banská Bystrica;Banskobystrický
Báhoň;Okres Pezinok;Bratislavský
Bajany;Okres Michalovce;Košický
Bajč;Okres Komárno;Nitriansky
Bajerov;Okres Prešov;Prešovský
Bajerovce;Okres Sabinov;Prešovský
Bajka;Okres Levice;Nitriansky
Bajtava;Okres Nové Zámky;Nitriansky
Baka;Okres Dunajská Streda;Trnavský
Baláže;Okres Banská Bystrica;Banskobystrický
Baldovce;Okres Levoča;Prešovský
Balog nad Ipľom;Okres Veľký Krtíš;Banskobystrický
Baloň;Okres Dunajská Streda;Trnavský
Baňa;Okres Stropkov;Prešovský
Banka;Okres Piešťany;Trnavský
Bánov;Okres Nové Zámky;Nitriansky
Bánovce nad Bebravou;Okres Bánovce nad Bebravou;Trenčiansky
Bánovce nad Ondavou;Okres Michalovce;Košický
Banská Belá;Okres Banská Štiavnica;Banskobystrický
Banská Bystrica;Okres Banská Bystrica;Banskobystrický
Banská Štiavnica;Okres Banská Štiavnica;Banskobystrický
Banské;Okres Vranov nad Topľou;Prešovský
Banský Studenec;Okres Banská Štiavnica;Banskobystrický
Bara;Okres Trebišov;Košický
Barca;Okres Rimavská Sobota;Banskobystrický
Bardejov;Okres Bardejov;Prešovský
Bardoňovo;Okres Nové Zámky;Nitriansky
Bartošova Lehôtka;Okres Žiar nad Hronom;Banskobystrický
Bartošovce;Okres Bardejov;Prešovský
Baška;Okres Košice - okolie;Košický
Baškovce, okres Humenné;Okres Humenné;Prešovský
Baškovce, okres Sobrance;Okres Sobrance;Košický
Bašovce;Okres Piešťany;Trnavský
Batizovce;Okres Poprad;Prešovský
Bátka;Okres Rimavská Sobota;Banskobystrický
Bátorová;Okres Veľký Krtíš;Banskobystrický
Bátorove Kosihy;Okres Komárno;Nitriansky
Bátovce;Okres Levice;Nitriansky
Beckov;Okres Nové Mesto nad Váhom;Trenčiansky
Beharovce;Okres Levoča;Prešovský
Becherov;Okres Bardejov;Prešovský
Belá nad Cirochou;Okres Snina;Prešovský
Belá, okres Nové Zámky;Okres Nové Zámky;Nitriansky
Belá, okres Žilina;Okres Žilina;Žilinský
Beladice;Okres Zlaté Moravce;Nitriansky
Belá-Dulice;Okres Martin;Žilinský
Belejovce;Okres Svidník;Prešovský
Belín;Okres Rimavská Sobota;Banskobystrický
Belina;Okres Lučenec;Banskobystrický
Belince;Okres Topoľčany;Nitriansky
Bellova Ves;Okres Dunajská Streda;Trnavský
Beloveža;Okres Bardejov;Prešovský
Beluj;Okres Banská Štiavnica;Banskobystrický
Beluša;Okres Púchov;Trenčiansky
Belža;Okres Košice - okolie;Košický
Beňadiková;Okres Liptovský Mikuláš;Žilinský
Beňadikovce;Okres Svidník;Prešovský
Beňadovo;Okres Námestovo;Žilinský
Beňatina;Okres Sobrance;Košický
Beniakovce;Okres Košice - okolie;Košický
Benice;Okres Martin;Žilinský
Benkovce;Okres Vranov nad Topľou;Prešovský
Beňuš;Okres Brezno;Banskobystrický
Bernolákovo;Okres Senec;Bratislavský
Bertotovce;Okres Prešov;Prešovský
Beša, okres Levice;Okres Levice;Nitriansky
Beša, okres Michalovce;Okres Michalovce;Košický
Bešeňov;Okres Nové Zámky;Nitriansky
Bešeňová;Okres Ružomberok;Žilinský
Betlanovce;Okres Spišská Nová Ves;Košický
Betliar;Okres Rožňava;Košický
Bežovce;Okres Sobrance;Košický
Bidovce;Okres Košice - okolie;Košický
Biel;Okres Trebišov;Košický
Bielovce;Okres Levice;Nitriansky
Biely Kostol;Okres Trnava;Trnavský
Bijacovce;Okres Levoča;Prešovský
Bílkove Humence;Okres Senica;Trnavský
Bíňa;Okres Nové Zámky;Nitriansky
Bíňovce;Okres Trnava;Trnavský
Biskupice;Okres Lučenec;Banskobystrický
Biskupová;Okres Topoľčany;Nitriansky
Bitarová;Okres Žilina;Žilinský
Blahová;Okres Dunajská Streda;Trnavský
Blatná na Ostrove;Okres Dunajská Streda;Trnavský
Blatná Polianka;Okres Sobrance;Košický
Blatné;Okres Senec;Bratislavský
Blatné Remety;Okres Sobrance;Košický
Blatné Revištia;Okres Sobrance;Košický
Blatnica;Okres Martin;Žilinský
Blažice;Okres Košice - okolie;Košický
Blažovce;Okres Turčianske Teplice;Žilinský
Blesovce;Okres Topoľčany;Nitriansky
Blhovce;Okres Rimavská Sobota;Banskobystrický
Bobot;Okres Trenčín;Trenčiansky
Bobrov;Okres Námestovo;Žilinský
Bobrovček;Okres Liptovský Mikuláš;Žilinský
Bobrovec;Okres Liptovský Mikuláš;Žilinský
Bobrovník;Okres Liptovský Mikuláš;Žilinský
Bočiar;Okres Košice - okolie;Košický
Bodíky;Okres Dunajská Streda;Trnavský
Bodiná;Okres Považská Bystrica;Trenčiansky
Bodorová;Okres Turčianske Teplice;Žilinský
Bodovce;Okres Sabinov;Prešovský
Bodružal;Okres Svidník;Prešovský
Bodza;Okres Komárno;Nitriansky
Bodzianske Lúky;Okres Komárno;Nitriansky
Bogliarka;Okres Bardejov;Prešovský
Bohdanovce;Okres Košice - okolie;Košický
Bohdanovce nad Trnavou;Okres Trnava;Trnavský
Boheľov;Okres Dunajská Streda;Trnavský
Bohunice, okres Ilava;Okres Ilava;Trenčiansky
Bohunice, okres Levice;Okres Levice;Nitriansky
Bohúňovo;Okres Rožňava;Košický
Bojná;Okres Topoľčany;Nitriansky
Bojnice;Okres Prievidza;Trenčiansky
Bojničky;Okres Hlohovec;Trnavský
Boľ;Okres Trebišov;Košický
Boldog;Okres Senec;Bratislavský
Boleráz;Okres Trnava;Trnavský
Bolešov;Okres Ilava;Trenčiansky
Boliarov;Okres Košice - okolie;Košický
Boľkovce;Okres Lučenec;Banskobystrický
Borcová;Okres Turčianske Teplice;Žilinský
Borčany;Okres Bánovce nad Bebravou;Trenčiansky
Borčice;Okres Ilava;Trenčiansky
Borinka;Okres Malacky;Bratislavský
Borová;Okres Trnava;Trnavský
Borovce;Okres Piešťany;Trnavský
Borský Mikuláš;Okres Senica;Trnavský
Borský Svätý Jur;Okres Senica;Trnavský
Borša;Okres Trebišov;Košický
Bory;Okres Levice;Nitriansky
Bošáca;Okres Nové Mesto nad Váhom;Trenčiansky
Bošany;Okres Partizánske;Trenčiansky
Boťany;Okres Trebišov;Košický
Bottovo;Okres Rimavská Sobota;Banskobystrický
Bôrka;Okres Rožňava;Košický
Bracovce;Okres Michalovce;Košický
Branč;Okres Nitra;Nitriansky
Branovo;Okres Nové Zámky;Nitriansky
Bratislava - mestská časť Čunovo;Okres Bratislava V;Bratislavský
Bratislava - mestská časť Devín;Okres Bratislava IV;Bratislavský
Bratislava - mestská časť Devínska Nová Ves;Okres Bratislava IV;Bratislavský
Bratislava - mestská časť Dúbravka;Okres Bratislava IV;Bratislavský
Bratislava - mestská časť Jarovce;Okres Bratislava V;Bratislavský
Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský
Bratislava - mestská časť Lamač;Okres Bratislava IV;Bratislavský
Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský
Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský
Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský
Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský
Bratislava - mestská časť Rusovce;Okres Bratislava V;Bratislavský
Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský
Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský
Bratislava - mestská časť Vajnory;Okres Bratislava III;Bratislavský
